question;answer
"""Est-ce qu’une personne physique soumise à l’impôt sur le revenu selon le régime forfaitaire dans la catégorie des « bénéfices industriels et commerciaux » est soumise à la TFP ?""";"""Les personnes physiques soumises à l'impôt sur le revenu selon le régime forfaitaire d'imposition ne sont pas soumises à la TFP."""
"""Est-ce que les rémunérations du gérant d’une société unipersonnelle à responsabilité limitée sont déductibles ?""";"""Les rémunérations du gérant d'une SUARL sont déductibles pour la détermination de l'assiette soumise à l'IS. La déduction se limite aux montants et à la valeur des avantages accordés au gérant en contrepartie de son activité au sein de la société en sa dite qualité, à condition qu'ils ne soient pas exagérés."""
"""Si l’employeur refuse l’application de l’article 26 de la loi de finances complémentaire pour l’année 2015, est-ce que le salarié peut bénéficier de la déduction des intérêts de la base de l’impôt annuel lors du dépôt de sa déclaration ?""";"""La déduction aura lieu du revenu global lors du dépôt de la déclaration annuelle de l'impôt dû."""
"""Quel est le taux de la retenue à la source à appliquer sur une facture de service rendu au profit d’une société totalement exportatrice ?""";"""Les montants égaux ou supérieurs à 1000 D TTC payés par les sociétés totalement exportatrices en contrepartie de services nécessaires à leur activité sont soumis à la retenue à la source au taux de 0.5%."""
"""Est-ce que les associations sont soumises à l’IS ?""";"""Les associations sont hors champ d'application de l'impôt sur les sociétés, mais ce dernier s'applique à celles qui n'exercent pas leur activité conformément à la législation les régissant."""
"""Quel est le taux d’amortissement des frais préliminaires ?""";"""Les taux maximum des amortissements linéaires relatifs aux frais préliminaires sont fixés par le décret n°2008-492 du 25 février 2008 à 100%."""
"""Quels sont les droits d’enregistrement d’un contrat de location d’un local à usage commercial ?""";"""Les baux de biens immeubles autres que ceux destinés à l'habitation sont enregistrés au taux proportionnel fixé à 1% du prix total du bail, déclaré dans le contrat."""
"""Quel est le taux de retenue à la source applicable sur les jeux de pari ?""";"""Le taux de retenue à la source applicable sur les revenus réalisés des jeux de pari, de hasard et de loterie est de 25 %."""
"""Quelles sont les mentions obligatoires qui doivent être portées au bon de sortie ?""";"""Le bon de sortie doit comporter la nature et la quantité des marchandises transportées, sa date d'émission, ainsi que le numéro d'immatriculation du moyen de transport. (Paragraphe III article 18 du code de la TVA)."""
"""Quelles sont les obligations déclaratives d’une personne physique ayant des bénéfices industriels et commerciaux (BIC) soumise au régime forfaitaire ?""";"""Dépôt d'une déclaration d'existence, avant d'entamer l'activité (art 56 du code de l'IRPP et de l'IS), dépôt de la déclaration annuelle de l'impôt, déclaration trimestrielle relative à la retenue à la source et au FOPROLOS, déclaration d'employeur."""
"""Quel est le délai de paiement de la taxe de circulation pour les véhicules automobiles portant des numéros d'immatriculation pairs ?""";"""Jusqu'au 5 mars pour les véhicules automobiles portant des numéros d'immatriculation pairs et appartenant à des personnes physiques."""
"""En 2016, quel est le pourcentage de chiffre d’affaires qu’une entreprise totalement exportatrice industrielle peut écouler sur le marché local ?""";"""En 2016, les entreprises totalement exportatrices industrielles peuvent écouler localement une partie de leur production dans la limite de 30% de leur chiffre d'affaires à l'exportation départ usine réalisé durant l'année civile précédente (article 16 du code d'incitation aux investissements)."""
"""Quelles sont les obligations déclaratives avant de commencer l'activité ?""";"""Toute personne physique ou morale exerçant une activité industrielle commerciale artisanale ou de service ou exerçant une profession non commerciale doit avant de commencer l’activité se faire connaître auprès des services fiscaux au moyen d’une déclaration dite déclaration d’existence (article 56 du code d’impôt sur le revenu des personnes physiques et de l’impôt sur les sociétés). Cette déclaration doit être déposée auprès"""
"""Quelles sont les obligations déclaratives des personnes soumises au régime forfaitaire en cours d'activité ?""";"""Les personnes soumises au régime forfaitaire doivent déposer : une déclaration mensuelle au titre de la retenue à la source, la contribution au FOPROLOS si elles sont employeurs, des déclarations au titre des trois acomptes provisionnels, une déclaration annuelle au titre de l'impôt sur le revenu et des taxes revenant aux collectivités locales."""
"""Quelles sont les obligations déclaratives à la fin de l'activité ?""";"""Toute personne physique ou morale doit à la fin de l'activité déposer une déclaration de cessation dans un délai de 15 jours à partir de la date de la cession ou de la fermeture définitive de l'entreprise avec paiement des droits dus. La cessation n'est prononcée qu'après vérification fiscale pour la période non prescrite."""
"""Quels sont les documents à joindre à la déclaration annuelle des personnes physiques soumises au régime réel et des personnes morales ?""";"""Les personnes physiques soumises au régime réel et les personnes morales doivent fournir à l'appui de leur déclaration annuelle : les états financiers, un tableau de détermination du résultat fiscal à partir du résultat comptable, un relevé détaillé des amortissements, un relevé détaillé des provisions,
Un relevé détaillé des dons et subventions accordés indiquant l'identité des bénéficiaires et les montants qui leur ont été accordés."""
"""Quelles sont les obligations relatives aux factures et aux titres de mouvement prévues par la législation fiscale ?""";"""Selon la législation fiscale tunisienne, les contribuables doivent émettre des factures pour chaque vente de biens ou prestation de services, en respectant les mentions obligatoires telles que le numéro de la facture, la date, l'identité des parties, la nature et la quantité des biens ou services, le prix unitaire et total, ainsi que le montant de la TVA le cas échéant. Les factures doivent être conservées pendant une durée légale minimale (souvent 10 ans) à des fins de contrôle. Quant aux titres de mouvement (documents accompagnant le transport des biens), ils doivent également comporter des informations précises permettant de tracer la circulation des marchandises, et doivent être présentés en cas de contrôle fiscal pour justifier la régularité des opérations. Le non-respect de ces obligations peut entraîner des sanctions fiscales, notamment des pénalités et le rejet de la déduction de la TVA."""
"""Quelles sont les obligations comptables des personnes soumises au régime réel ?""";"""Les personnes physiques ou morales soumises au régime réel en Tunisie doivent tenir une comptabilité régulière et sincère, conforme aux règles comptables nationales. Elles doivent enregistrer toutes les opérations commerciales, financières et patrimoniales dans des livres comptables obligatoires : journal, grand livre, livre d'inventaire. Elles doivent également établir des états financiers annuels, comprenant un bilan, un compte de résultat et une annexe, afin de justifier leurs résultats fiscaux auprès de l'administration. Ces documents doivent être conservés pendant au moins 10 ans. Le non-respect de ces obligations peut entraîner des sanctions fiscales et pénales."""
"""Quelles sont les obligations comptables des personnes physiques bénéficiaires du régime forfaitaire de détermination du revenu au titre des revenus non commerciaux et fonciers ?""";"""Elles doivent tenir un registre côté et paraphé par les services des impôts sur lequel sont portées au jour le jour, les recettes et les dépenses"""
"""Quelles sont les obligations comptables des personnes soumises au régime réel simplifié ?""";"""Les personnes physiques soumises à l'impôt sur le revenu au titre des bénéfices industriels et commerciaux selon le régime réel simplifié et dont le chiffre d'affaires annuel n'excède pas 100.000 dinars, doivent tenir : un registre côté et paraphé par les services du contrôle fiscal sur lequel sont portés au jour le jour les recettes brutes et les charges sur la base des pièces justificatives, un livre d'inventaire côté et paraphé par les services du contrôle fiscal où sont enregistrés annuellement les immobilisations et les stocks"""
"""Quelles sont les obligations comptables des personnes physiques bénéficiaires du régime forfaitaire d'imposition en matière de bénéfices industriels et commerciaux ?""";"""Elles doivent tenir un registre côté et paraphé par les services des impôts sur lequel sont portées les recettes et les dépenses."""
"""Quelle est la date de prescription pour les vignettes ?""";"""Les omissions et les erreurs constatées dans la liquidation des taxes de circulation sur les véhicules automobiles peuvent être réparées jusqu'à l'expiration de la 4ième année civile qui suit l'année civile au cours de laquelle l'impôt est dû tant qu'il n'a pas été prouvé que le véhicule est hors usage, et ce suite à la présentation d'une attestation délivrée par les services du ministère chargé du transport justifiant que le véhicule est hors d'usage ou un document justifiant sa non circulation délivrée par les services compétents."""
"""Quelles sont les conditions de restitution des droits d’enregistrement au titre de l’achat de terres agricoles réalisés dans une activité concourant au développement agricole ?""";"""Toute déclaration d'investissement dans l'agriculture ouvre droit au remboursement des droits de mutation acquittés lors de l'achat des terres agricoles objet de l'investissement à condition de justifier le commencement des travaux relatifs audit investissement par une attestation délivrée par les services concernés de l'APIA. Ce droit est prescrit une année après la date de dépôt de déclaration d'investissement. (Article 30 du CII)."""
"""Quels sont les droits d’enregistrement exigibles pour l’acquisition de terrains destinés à la construction d’immeubles individuels à usage d’habitation ?""";"""Les acquisitions de terrains destinés à la construction d'immeubles individuels à usage d'habitation sont enregistrées aux droits progressifs suivants : jusqu'à 120 m² : 1 %, de 120,001 m² à 300 m² : 2 %, de 300,001 m² à 600 m² : 3 %, du-delà de 600 m² : 5 %"""
"""Quels sont les droits d’enregistrement exigibles pour l’acquisition d’habitation auprès d’un promoteur immobilier ?""";"""L'enregistrement du contrat d'acquisition de logements construits par un promoteur immobilier est soumis au droit proportionnel réduit de 3%."""
"""Quels sont les droits d’enregistrement exigibles sur les annexes des contrats de marché ?""";"""Les annexes des contrats de marché comportant augmentation de la valeur du marché sont soumises aux mêmes formalités relatives à l'enregistrement des marchés (droit d'enregistrement fixé à 0,5% et exonération des droits de timbre) et les autres annexes sont soumises à 20 dinars par annexe."""
"""Quels sont les droits d’enregistrement exigibles sur un contrat de location d’immeuble à usage professionnel ?""";"""Les baux de biens immeubles autres que ceux destinés à l'habitation sont enregistrés au taux proportionnel fixé à 1% du montant du loyer sans dépasser le loyer annuel."""
"""Doit-on présenter sa comptabilité aux agents de l'administration fiscale ?""";"""Oui, la comptabilité, les registres ainsi que les programmes, logiciels et applications informatiques utilisés pour l'arrêté des comptes et l'établissement des déclarations fiscales doivent être communiquées aux agents de l'administration fiscale dans les cas suivants : à leur demande et dans le cas d'une vérification fiscale approfondie, sur place et ce dans le cadre de l'exercice du droit de communication."""
"""Quelle est la durée de conservation de la comptabilité ?""";"""Les registres et les documents comptables doivent être conservés pendant une période qui ne peut être inférieure à dix ans."""
"""En quoi consiste la vérification préliminaire des déclarations, actes et écrits ?""";"""Cette vérification a pour but de rectifier les erreurs apparentes entachant les déclarations et ce sur la base des renseignements et documents dont dispose l'administration. Elle se déroule dans les bureaux de l'administration et ne nécessite pas l'information préalable du contribuable. Elle peut porter sur une ou plusieurs déclarations, un ou plusieurs impôts, elle ne met pas obstacle à une vérification ultérieure approfondie."""
"""Quelles sont les garanties offertes au contribuable lors d'une vérification préliminaire ?""";"""Le contribuable, informé par écrit des résultats de la vérification préliminaire, bénéficie d'un délai de trente jours à compter de la notification des résultats pour formuler ses observations. Il peut se faire assister par un conseil de son choix ou se faire représenter par un mandataire conformément à la loi."""
"""En quoi consiste la vérification approfondie de la situation fiscale du contribuable ?""";"""La vérification approfondie porte sur tout ou partie de la situation fiscale du contribuable. Elle est subordonnée à la notification d'un avis préalable au contribuable, au moins 15 jours avant son commencement."""
"""Comment se déclenche la vérification approfondie de la situation fiscale ?""";"""La vérification approfondie commence dans un délai minimum de 15 jours à partir de la notification de l'avis de vérification qui doit mentionner notamment les impôts et les années concernés."""
"""Quelle est la période vérifiable ?""";"""L'administration peut vérifier les impôts dans les délais suivants :   4 ans pour les impôts déclarés, 10 ans en cas de défaut de déclaration de l'impôt, 10 ans pour les droits de timbre dans tous les cas."""
"""Dans quel cas l'administration fiscale a-t-elle le droit de vérifier une période prescrite ?""";"""Elle peut vérifier une période prescrite en cas d'imputation de déficits reportés, d'amortissements différés ou de crédits d'impôt provenant des années prescrites ayant un effet sur les résultats ou sur le montant de l'impôt déclaré au titre des années non prescrites.   Cependant, cette vérification ne peut pas aboutir à une réclamation d'impôt supplémentaire sur les périodes prescrites."""
"""Quels sont les agents habilités à procéder à la vérification fiscale ?""";"""La vérification est effectuée par des agents de l'administration fiscale qui doivent être assermentés, présenter leur carte professionnelle et une copie de l'avis de vérification avant toute opération."""
"""Par qui le contribuable peut-il se faire assister ou représenter lors d'une vérification fiscale approfondie ?""";"""Le contribuable peut se faire assister par une personne de son choix ou se faire représenter par un mandataire conformément à la loi."""
"""Où se déroule la vérification fiscale approfondie ?""";"""Elle s'effectue dans les locaux de l'entreprise ou dans les bureaux de l'administration. Dans ce dernier cas, les échanges de registres et documents se font contre récépissés."""
"""Quelle est la durée de la vérification fiscale approfondie ?""";"""La durée ne doit pas dépasser 6 mois à partir du commencement effectif lorsque la vérification s'effectue sur la base d'une comptabilité, et 1 an dans les autres cas."""
""" La vérification fiscale approfondie peut-elle être interrompue ?""";"""Oui, à l'initiative de l'administration fiscale ou à la demande écrite et motivée du contribuable, pour une durée ne dépassant pas 60 jours.  
Les interruptions pour motifs attribués au contribuable ou à l'administration, dûment justifiées par correspondances, ne sont pas comptées dans la durée totale de la vérification."""
"""Comment est clôturée la vérification fiscale approfondie ?""";"""La vérification approfondie est clôturée par la notification au contribuable, par écrit, des redressements relatifs à sa situation fiscale et ce par les agents de l'administration fiscale, ou par lettre recommandée avec accusé de réception, ou par officiers des services financiers ou par huissiers-notaire. """
"""Quelles sont les conséquences de l’opposition par écrit du contribuable aux résultats de la vérification ?""";"""Lorsque le contribuable formule par écrit son opposition aux résultats de la vérification fiscale dans les délais légaux, cela suspend généralement la procédure de redressement jusqu’à ce que sa contestation soit examinée. L’administration fiscale doit alors instruire la réclamation, qui peut déboucher sur un accord amiable, une modification de l’avis initial, ou le maintien des rectifications. En cas de désaccord persistant, le contribuable peut saisir les commissions compétentes ou le tribunal administratif pour trancher le différend. Pendant cette période, le contribuable doit toutefois respecter ses obligations de paiement, sauf décision contraire de l’administration ou garantie fournie"""
"""L'administration est-elle en droit de vérifier de nouveau un contribuable vérifié ?""";"""La vérification approfondie est en principe définitive. Elle peut être exceptionnellement reprise pour la même période et pour les mêmes impôts en cas d'obtention de renseignements touchant à l'assiette et à la liquidation de l'impôt et dont l'administration n'a pas eu connaissance lors de la première vérification."""
"""Quelles sont les conséquences de la notification des résultats de la vérification fiscale ?""";"""La notification des résultats interrompt la prescription fiscale. Elle peut entraîner l’acceptation des redressements, une contestation formelle par le contribuable, ou le lancement d’une procédure contentieuse."""
"""L'administration est-elle en droit de vérifier de nouveau un contribuable vérifié ?""";"""La vérification approfondie est en principe définitive. Elle peut être exceptionnellement reprise pour la même période et pour les mêmes impôts en cas d'obtention de renseignements touchant à l'assiette et à la liquidation de l'impôt et dont l'administration n'a pas eu connaissance lors de la première vérification."""
"""Peut-on se faire restituer les impôts payés en trop ?""";"""Oui, les montants payés en trop peuvent être restitués dans un délai maximum de 3 ans à compter de la date à partir de laquelle l'impôt est devenu restituable, et au plus tard dans un délai de 5 ans à partir de la date du recouvrement."""
"""Quelles sont les formalités à suivre pour se faire restituer les impôts payés en trop ?""";"""La restitution du trop perçu nécessite : la présentation d’une demande écrite et motivée auprès des services de l'administration fiscale, la justification du dépôt des déclarations échues à la date de la demande."""
"""Quel est le délai de réponse de l'administration aux demandes en restitutions ?""";"""Délai général : 6 mois à compter de la date de la demande. """
"""Peut-on suspendre l'exécution de l'arrêté de taxation d'office ?""";"""L'exécution de l'arrêté de taxation d'office peut être suspendue si le contribuable engage un recours contentieux et fournit une garantie suffisante à l'administration, telle qu'un cautionnement ou un dépôt, conformément à la législation fiscale en vigueur."""
"""Quelles sont les procédures d'opposition à l'arrêté de taxation d'office ?""";"""L'opposition à l'arrêté de taxation d'office s'effectue dans un délai de 60 jours à compter de la date de la notification de l'arrêté, et ce, devant le tribunal de première instance dans la circonscription duquel se trouve le service de l'administration fiscale en charge du dossier, l'acceptation de l'opposition n'est pas conditionnée par le paiement de 20% du montant de l'impôt en principal objet de l'opposition ou par la production d'une caution bancaire pour le même montant."""
"""Peut-on transiger en matière fiscale ?""";"""Les infractions fiscales pénales peuvent faire l'objet de transaction avant le prononcé d'un jugement définitif, et ce, à l'exclusion des infractions relatives à la contrefaçon ou la falsification des timbres et des marques de l'Etat et au respect du secret professionnel."""
"""Est-ce qu’une société ayant pour activité l’élevage des animaux est soumise à la TCL ?""";"""Toutes les personnes morales soumises à l'impôt sur les sociétés sont soumises à la TCL."""
"""Les logements de fonction sont-ils soumis à la taxe sur les immeubles bâtis ?""";"""Les immeubles à usage d’habitation mis à la disposition des salariés sont soumis à la taxe sur les immeubles bâtis. Toutefois, les immeubles appartenant à l’Etat, aux établissements publics à caractère administratif ou aux collectivités locales et mis à la disposition des fonctionnaires gratuitement sont exonérés de ladite taxe."""
"""Q: Les terrains non bâtis appartenant aux promoteurs immobiliers sont-ils soumis à la taxe sur les terrains non bâtis ?""";"""Sont soumis à la taxe sur les terrains non bâtis les terrains non bâtis situés dans les zones relevant des collectivités locales. L’article 32 du code de la fiscalité locale a prévu l’exonération de cette taxe notamment, des terrains non bâtis situés dans les zones industrielles, d’habitation, de tourisme et dans les zones à usage artisanal ou professionnel et lotis conformément à la législation et à la réglementation en vigueur tant qu’ils n’ont pas fait l’objet de cession par le lotisseur."""
"""Une société totalement exportatrice est-elle soumise à la taxe sur les immeubles bâtis pour les locaux loués destinés à l’exercice de son activité ?""";"""Conformément à l’article 12 du code d’incitation aux investissements, les sociétés totalement exportatrices sont soumises notamment à la taxe d’entretien et d’assainissement qui a été remplacée en vertu de l'article 5 de la loi de promulgation du code de la fiscalité locale par la taxe sur les immeubles bâtis."""
"""Quelles sont les personnes redevables de la taxe sur les établissements à caractère industriel, commercial ou professionnel (TCL) ?""";"""Sont soumises à la TCL notamment : les personnes physiques soumises à l’impôt sur le revenu au titre des bénéfices industriels et commerciaux et des bénéfices des professions non commerciales, les personnes morales soumises à l’impôt sur les sociétés, les groupements d’intérêts économiques, les sociétés de personnes et les associations en participations exerçant une activité commerciale ou une profession non commerciale."""
"""Comment est calculée la TCL en cas de réalisation d’un déficit au cours d’un exercice ?""";"""En cas de réalisation d’un déficit appuyé par une comptabilité conforme à la législation comptable des entreprises, la « TCL » due au titre de l’année qui suit l’année de réalisation du déficit est calculée sur la base de 25% du minimum de l’impôt sur le revenu ou de l’impôt sur les sociétés prévus par les articles 44 et 49 du code de l’impôt sur le revenu des personnes physiques et de l’impôt sur les sociétés. Sachant que le résultat pris en compte est le résultat fiscal et non comptable."""
"""Comment est calculé le minimum de la « TCL » en cas d’exercice de deux ou plusieurs activités dans un même immeuble ?""";"""Le minimum de la TCL est dû par chaque personne exerçant une activité soumise à ladite taxe. Il s'ensuit qu'en cas d'exercice de deux ou plusieurs activités dans le même local, chaque personne exerçant une activité soumise à la TCL est redevable du minimum de ladite taxe. Ce minimum est calculé pour chaque activité sur la base de toute la superficie couverte de l'immeuble en question."""
